idade,genero,cor_raca,SG_UF_IES,nivel_ensino,situacao_trabalho,setor,tamanho_empresa,cargo,nivel_cargo,faixa_salarial,exp_dados,exp_ti,satisfacao,motivo_insatisfacao,modelo_trabalho,modelo_ideal,layoff,sql,r,python,c_cpp_csharp,dotnet,java,javascript,postgresql,bigquery,snowflake,databricks,azure,aws,gcp,powerbi,tableau,looker_studio,excel_planilhas
31,Masculino,Branca,MG,Doutorado ou Phd,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,Trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Masculino,Branca,ES,Graduação/Bacharelado,Empreendedor ou Empregado (CNPJ),Finanças ou Bancos,de 101 a 500,Analista de BI/BI Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,de 3 a 4 anos,1.0,,Modelo 100% remoto,Modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
37,Feminino,Amarela,SP,Graduação/Bacharelado,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Analista de Dados/Data Analyst,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Menos de 1 ano,1.0,,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
22,Masculino,Preta,SP,Estudante de Graduação,"Desempregado, buscando recolocação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Masculino,Branca,MG,Doutorado ou Phd,Empreendedor ou Empregado (CNPJ),Outra Opção,de 101 a 500,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Menos de 1 ano,1.0,,Modelo 100% remoto,Modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,Masculino,Branca,RJ,Estudante de Graduação,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 51 a 100,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo 100% remoto,Modelo 100% remoto,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalhava e eu fui afetado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
24,Masculino,Branca,SP,Graduação/Bacharelado,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Analista de Negócios/Business Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
35,Masculino,Branca,SP,Pós-graduação,Empregado (CLT),Varejo,Acima de 3.000,,,de R$ 20.001/mês a R$ 25.000/mês,de 7 a 10 anos,de 7 a 10 anos,1.0,,Modelo 100% remoto,Modelo 100% remoto,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",,,,,,,,,,,,,,,,,,
27,Masculino,Parda,RJ,Graduação/Bacharelado,Trabalho na área Acadêmica/Pesquisador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Masculino,Parda,SP,Graduação/Bacharelado,"Desempregado, buscando recolocação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Masculino,Preta,SE,Estudante de Graduação,Empregado (CLT),Setor Público,de 101 a 500,Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,de 5 a 6 anos,0.0,"Salário atual não corresponde ao mercado, Gostaria de trabalhar em em outra área de atuação, Regime presencial",Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,Feminino,Parda,PE,Pós-graduação,"Desempregado, buscando recolocação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Feminino,Preta,RS,Pós-graduação,Empregado (CLT),Tecnologia/Fábrica de Software,de 501 a 1.000,Outra Opção,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo 100% remoto,Modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,Masculino,Branca,SP,Graduação/Bacharelado,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Mais de 10 anos,1.0,,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,,,,,,,,,,,,,,,,,,
36,Masculino,Branca,DF,Pós-graduação,Servidor Público,Tecnologia/Fábrica de Software,Acima de 3.000,,,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,,,,,,,,,,,,,,,,,,
35,Feminino,Branca,MG,Mestrado,Empregado (CLT),Tecnologia/Fábrica de Software,de 51 a 100,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,de 3 a 4 anos,1.0,,Modelo 100% remoto,Modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,,,,,,,,,,,,,,,,,,
29,Feminino,Branca,RJ,Graduação/Bacharelado,Servidor Público,Setor Público,Acima de 3.000,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,Feminino,Prefiro não informar,MG,Mestrado,Empregado (CLT),Tecnologia/Fábrica de Software,Acima de 3.000,Analista de Negócios/Business Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Menos de 1 ano,0.0,Salário atual não corresponde ao mercado,Modelo 100% remoto,Modelo híbrido com dias fixos de trabalho presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
27,Masculino,Parda,PR,Graduação/Bacharelado,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 11 a 50,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 3 a 4 anos,de 1 a 2 anos,1.0,,Modelo 100% remoto,Modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Masculino,Branca,RJ,Pós-graduação,Empregado (CLT),Entretenimento ou Esportes,Acima de 3.000,,,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",,,,,,,,,,,,,,,,,,
35,Masculino,Parda,PB,Mestrado,Empregado (CLT),Internet/Ecommerce,de 1.001 a 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,de 3 a 4 anos,1.0,,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
35,Masculino,Branca,SP,Graduação/Bacharelado,Empregado (CLT),Internet/Ecommerce,Acima de 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo 100% remoto,Modelo 100% remoto,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
29,Masculino,Branca,PR,Graduação/Bacharelado,Empreendedor ou Empregado (CNPJ),Área da Saúde,Acima de 3.000,Cientista de Dados/Data Scientist,Sênior,Acima de R$ 40.001/mês,de 5 a 6 anos,Menos de 1 ano,1.0,,Modelo 100% remoto,Modelo 100% remoto,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
44,Feminino,Branca,MG,Doutorado ou Phd,Empregado (CLT),Área de Consultoria,de 51 a 100,,,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,"Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual, O clima de trabalho/ambiente não é bom",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,,,,,,,,,,,,,,,,,,
25,Feminino,Branca,SP,Graduação/Bacharelado,Empregado (CLT),Setor Alimentício,Acima de 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Menos de 1 ano,1.0,,Modelo 100% remoto,Modelo 100% remoto,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
36,Masculino,Branca,,Graduação/Bacharelado,Empregado (CLT),Setor Alimentício,de 1.001 a 3.000,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,de 5 a 6 anos,0.0,"Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios",Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,Feminino,Parda,MG,Pós-graduação,Empregado (CLT),Finanças ou Bancos,de 101 a 500,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,"Falta de maturidade analítica na empresa, Gostaria de receber mais benefícios, Não tenho uma boa relação com meu líder/gestor",Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,,,,,,,,,,,,,,,,,,
46,Masculino,Branca,SC,Graduação/Bacharelado,Empregado (CLT),Educação,de 51 a 100,Professor/Pesquisador,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
33,Feminino,Parda,SP,Mestrado,Empregado (CLT),Varejo,Acima de 3.000,Analytics Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Menos de 1 ano,1.0,,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalhava e eu fui afetado",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Masculino,Branca,SP,Mestrado,Empregado (CLT),Área de Consultoria,de 101 a 500,Economista,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0
32,Masculino,Parda,SP,Não tenho graduação formal,Empregado (CLT),Área de Consultoria,de 11 a 50,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Menos de 1 ano,1.0,,Modelo 100% remoto,Modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
38,Masculino,Preta,SP,Não tenho graduação formal,Empregado (CLT),Tecnologia/Fábrica de Software,de 501 a 1.000,Cientista de Dados/Data Scientist,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 7 a 10 anos,Menos de 1 ano,1.0,,Modelo híbrido com dias fixos de trabalho presencial,Modelo 100% remoto,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalhava e eu fui afetado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
36,Masculino,Parda,SP,Pós-graduação,Empregado (CLT),Setor Alimentício,de 101 a 500,,,de R$ 25.001/mês a R$ 30.000/mês,de 7 a 10 anos,de 7 a 10 anos,1.0,,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,,,,,,,,,,,,,,,,,,
53,Masculino,Branca,RS,Pós-graduação,Empregado (CLT),Entretenimento ou Esportes,de 501 a 1.000,Professor/Pesquisador,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,Falta de oportunidade de crescimento no emprego atual,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
