Estado,Idade,Genero,Raca_cor,Satisfacao_atual,Fatores_satisfacao,Motivos_insatisfacao,Nivel_experiencia,Tempo_experiencia_dados,Faixa_salarial,Ferramentas_utilizadas,Cargo_atual,Uso_IA_Generativa,Finalidade_IA_Generativa,Barreiras_IA_Generativa,Tamanho_empresa,Setor_empresa,Equipe_dados,Prioridade_IA
MG,31,Masculino,Branca,0.0,"Flexibilidade de trabalho remoto, Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área",Trabalho presencial,Sênior,de 3 a 4 anos,de R$ 12.001/mês a R$ 16.000/mês,"Python, SQL",Cientista de Dados/Data Scientist,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes)., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento.",Não informado,Acima de 3.000,Finanças ou Bancos,Não informado,Não informado
ES,30,Masculino,Branca,1.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Não informado,Pleno,de 3 a 4 anos,de R$ 6.001/mês a R$ 8.000/mês,"SQL, Python",Analista de BI/BI Analyst,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 101 a 500,Finanças ou Bancos,Não informado,Não informado
SP,37,Feminino,Amarela,1.0,"Flexibilidade de trabalho remoto, Remuneração/Salário, Ambiente e clima de trabalho",Não informado,Júnior,de 1 a 2 anos,de R$ 6.001/mês a R$ 8.000/mês,"SQL, Python, SAS/Stata",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes).",Não informado,Acima de 3.000,Finanças ou Bancos,Não informado,Não informado
MG,34,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Não informado,Júnior,Menos de 1 ano,de R$ 4.001/mês a R$ 6.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.",Não sei opinar.,Não informado,de 101 a 500,Outra Opção,Não informado,Não informado
RJ,30,Masculino,Branca,1.0,"Flexibilidade de trabalho remoto, Remuneração/Salário, Propósito do trabalho e da empresa",Não informado,Pleno,de 1 a 2 anos,de R$ 8.001/mês a R$ 12.000/mês,"Python, SQL",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 51 a 100,Tecnologia/Fábrica de Software,Não informado,Não informado
SP,24,Masculino,Branca,1.0,"Flexibilidade de trabalho remoto, Remuneração/Salário, Benefícios",Não informado,Pleno,de 3 a 4 anos,de R$ 4.001/mês a R$ 6.000/mês,SQL,Analista de Negócios/Business Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas.",Não informado,Acima de 3.000,Finanças ou Bancos,Não informado,Não informado
SP,35,Masculino,Branca,1.0,"Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados, Qualidade dos gestores e líderes",Não informado,Não informado,de 7 a 10 anos,de R$ 20.001/mês a R$ 25.000/mês,Não informado,Não informado,Não informado,Não informado,"Dados da empresa não estão prontos para uso de IA Generativa., Preocupações com segurança e privacidade de dados., Falta de expertise das equipes técnicas ou falta de recursos internos.",Acima de 3.000,Varejo,4 - 10,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco)."
SE,25,Masculino,Preta,0.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados","Salário atual não corresponde ao mercado, Gostaria de trabalhar em em outra área de atuação, Regime presencial",Júnior,de 1 a 2 anos,de R$ 1.001/mês a R$ 2.000/mês,"SQL, Python",Analista de BI/BI Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 101 a 500,Setor Público,Não informado,Não informado
RS,32,Feminino,Preta,1.0,"Flexibilidade de trabalho remoto, Benefícios, Remuneração/Salário",Não informado,Pleno,de 1 a 2 anos,de R$ 3.001/mês a R$ 4.000/mês,"R, Não utilizo nenhuma das linguagens listadas",Outra Opção,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Não sei opinar.",Não informado,de 501 a 1.000,Tecnologia/Fábrica de Software,Não informado,Não informado
SP,39,Masculino,Branca,1.0,"Remuneração/Salário, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área",Não informado,Não informado,Mais de 10 anos,de R$ 16.001/mês a R$ 20.000/mês,Não informado,Não informado,Não informado,Não informado,"Falta de compreensão dos casos de uso., Baixa qualidade e/ou falta de confiabilidade das saídas (alucinação dos modelos)., Incerteza em relação a regulamentação ou questões regulatórias.",Acima de 3.000,Finanças ou Bancos,101 - 300,"Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante)."
