NO_IES,SG_UF_IES,TP_CATEGORIA_ADMINISTRATIVA,QT_TEC_TOTAL,QT_DOC_TOTAL,QT_DOC_EX_DOUT,QT_DOC_EX_MEST,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,IN_ACESSO_PORTAL_CAPES,IN_REPOSITORIO_INSTITUCIONAL,IN_SERVICO_INTERNET,idade,genero,cor_raca,estado,nivel_ensino,situacao_trabalho,setor,tamanho_empresa,cargo,nivel_cargo,faixa_salarial,exp_dados,exp_ti,satisfacao,motivo_insatisfacao,modelo_trabalho,modelo_ideal,layoff,sql,r,python,c_cpp_csharp,dotnet,java,javascript,linguagem_principal,mysql,sql_server,postgresql,bigquery,snowflake,databricks,azure,aws,gcp,powerbi,tableau,looker,looker_studio,excel_planilhas,ia_prioridade,ia_uso_independente,ia_uso_centralizado,ia_copilots,ia_produtos_externos,ia_produtos_internos,ia_principal_negocio,ia_nao_prioridade,ia_nao_sabe,ia_nao_usa,ia_gratuita,ia_paga_pessoal,ia_paga_empresa,ia_usa_copilot,tamanho_empresa_cat,satisfacao_binaria,salario_medio,exp_dados_num,exp_ti_num,nivel_ia,Contextualizacao
UNIVERSIDADE CATÓLICA DE PERNAMBUCO,PE,5,416,539,286,207,174,15459,1,0,1,36.0,Feminino,Branca,Minas Gerais,Doutorado ou Phd,CLT,Finanças ou Bancos,Acima de 3.000,Analista de Dados/Data Analyst,Sênior,3001-4000,10+,3-4,0.0,"Falta de maturidade analítica na empresa, Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado",Híbrido flexível,Remoto,Não,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SQL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Grande,0.0,3500.0,10.0,3.5,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
UNIVERSIDADE DO VALE DO RIO DOS SINOS,RS,5,887,891,498,317,32353,31245,1,1,1,26.0,Masculino,Branca,Minas Gerais,Estudante de Graduação,CLT,Finanças ou Bancos,de 1.001 a 3.000,Analista de Dados/Data Analyst,Júnior,3001-4000,1-2,0-1,1.0,,Remoto,Remoto,Não,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Python,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,3500.0,1.5,0.5,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,RJ,5,232,154,66,84,0,35328,1,0,1,34.0,Feminino,Pardo,Minas Gerais,Graduação/Bacharelado,CNPJ,Área de Consultoria,de 6 a 10,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,6001-8000,3-4,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Remoto,Remoto,Sim não afetado,1.0,0.0,1.0,0.0,0.0,1.0,1.0,Python,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,7000.0,3.5,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
UNIVERSIDADE CATÓLICA DE PELOTAS,RS,5,267,319,101,102,128,13000,1,1,1,25.0,Masculino,Branca,Minas Gerais,Estudante de Graduação,CLT,Finanças ou Bancos,de 1.001 a 3.000,Analista de Dados/Data Analyst,Júnior,4001-6000,1-2,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Híbrido fixo,Híbrido flexível,Sim não afetado,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Python,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,5000.0,1.5,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,SP,5,769,793,432,237,1693,25206,1,1,1,39.0,Feminino,Preto,Minas Gerais,Pós-graduação,CLT,Setor Alimentício,de 1.001 a 3.000,Analista de BI/BI Analyst,Pleno,6001-8000,1-2,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,"Falta de maturidade analítica na empresa, Salário atual não corresponde ao mercado",Presencial,Híbrido flexível,Não,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SQL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,7000.0,1.5,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
UNIVERSIDADE DE PASSO FUNDO,RS,5,781,560,273,241,39,235000,1,1,1,29.0,Masculino,Preto,Espírito Santo,Mestrado,CLT,Filantropia/ONG's,de 11 a 50,Analista de Dados/Data Analyst,Sênior,8001-12000,3-4,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Híbrido flexível,Remoto,Não,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Python,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Pequena,1.0,10000.0,3.5,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
UNIVERSIDADE FEEVALE,RS,5,765,466,223,184,3195,282815,1,0,1,28.0,Masculino,Pardo,Espírito Santo,Estudante de Graduação,Somente Estudante (graduação),,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
UNIVERSIDADE ESTADUAL DE SANTA CRUZ,BA,2,373,776,553,156,38544,7161,1,0,1,28.0,Masculino,Branca,Espírito Santo,Estudante de Graduação,Estagiário,Indústria,de 6 a 10,Analista de Dados/Data Analyst,Júnior,1001-2000,0-1,0-1,1.0,,Presencial,Híbrido fixo,Não,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Python,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1500.0,0.5,0.5,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Centro Universitário UninCor,MG,5,125,184,39,90,93573,28861,1,1,1,18.0,Feminino,Pardo,Espírito Santo,Estudante de Graduação,Somente Estudante (graduação),,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
UNIVERSIDADE ESTADUAL DO CEARÁ,CE,2,638,1192,785,312,0,1086,1,1,1,34.0,Masculino,Amarelo,Espírito Santo,Mestrado,CNPJ,Setor Imobiliário/ Construção Civil,de 1.001 a 3.000,,,16001-20000,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,Falta de maturidade analítica na empresa,Presencial,Híbrido flexível,Não,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não é uma iniciativa que estamos focando e não tem sido uma prioridade.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,18000.0,,,Baixa adoção,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
