Year,country_name,AI skills migration (per 10 000 LinkedIn members)
2019,Luxembourg,0.943140422
2019,Switzerland,0.823770728
2019,Germany,0.794495921
2019,Finland,0.555784306
2019,Estonia,0.497503437
2019,Austria,0.498927662
2019,Norway,0.316757804
2019,Belgium,0.25852749
2019,Australia,0.246003531
2019,United States,0.201282883
2019,Canada,0.147338058
2019,Cyprus,0.140588645
2019,New Zealand,0.141193769
2019,France,0.126522919
2019,Spain,0.089496657
2019,Saudi Arabia,0.045733223
2019,Netherlands,0.041478272
2019,Portugal,0.018394701
2019,United Kingdom,0.010697177
2019,Indonesia,0.011231184
2019,Denmark,-0.003855726
2019,Iceland,0
2019,Hungary,-0.019623311
2019,Croatia,-0.016375162
2019,Slovenia,-0.029138548
2019,Chile,-0.026148425
2019,Mexico,-0.040938758
2019,Costa Rica,-0.040321564
2019,Poland,-0.05170317
2019,South Africa,-0.048778378
2019,Uruguay,-0.048589684
2019,Argentina,-0.06186184
2019,Brazil,-0.058164273
2019,Czech Republic,-0.071939815
2019,Lithuania,-0.068532894
2019,Italy,-0.080576121
2019,United Arab Emirates,-0.086487746
2019,Romania,-0.098030068
2019,Latvia,-0.122922608
2019,Singapore,-0.136563869
2019,Ireland,-0.160953527
2019,Sweden,-0.194254544
2019,Hong Kong (China),-0.238909617
2019,Japan,-0.257895844
2019,Israel,-0.2769112
2019,Korea,-0.299245938
2019,Greece,-0.328275008
2019,India,-0.39366198
2019,Türkiye,-0.436230388
2020,Türkiye,-0.385126172
2020,Hong Kong (China),-0.229931386
2020,India,-0.206648685
2020,Greece,-0.193299885
2020,Slovenia,-0.135171668
2020,Italy,-0.121238091
2020,Croatia,-0.119882874
2020,South Africa,-0.085139724
2020,Argentina,-0.075495673
2020,Costa Rica,-0.053324659
2020,Brazil,-0.029610226
2020,Uruguay,-0.021537033
2020,Mexico,-0.019612828
2020,Chile,-0.018687369
2020,Portugal,-0.002789847
2020,Spain,0.008439872
2020,Indonesia,0.010345578
2020,Romania,0.033150003
2020,United States,0.037395766
2020,Hungary,0.044625804
2020,United Kingdom,0.077991534
2020,Latvia,0.084080482
2020,Poland,0.086185618
2020,Czech Republic,0.093581004
2020,Denmark,0.102107015
2020,New Zealand,0.122310804
2020,Iceland,0.124335839
2020,Saudi Arabia,0.135296266
2020,Israel,0.157503038
2020,France,0.171433774
2020,Australia,0.213450799
2020,Korea,0.233302089
2020,United Arab Emirates,0.242977938
2020,Ireland,0.293516569
2020,Belgium,0.293583787
2020,Canada,0.315001907
2020,Sweden,0.392091368
2020,Netherlands,0.394012635
2020,Singapore,0.4694856
2020,Norway,0.532380788
2020,Lithuania,0.576054643
2020,Finland,0.679152476
2020,Japan,0.69739313
2020,Austria,0.744841651
2020,Germany,0.84882831
2020,Cyprus,1.218995804
2020,Estonia,1.306197089
2020,Switzerland,1.976096369
2020,Luxembourg,4.156408863
2021,India,-0.786405494
2021,Türkiye,-0.691926911
2021,Greece,-0.628229163
2021,Hungary,-0.295713388
2021,Croatia,-0.179969903
2021,Argentina,-0.17958117
2021,Romania,-0.179447375
