Date,Country,AI_projects_fractional_count_based_on_contributions
2020,BRA,0.03830419387663134
2021,BRA,0.04038940741778817
2022,BRA,0.042564929586324116
2023,BRA,0.0382777790286565
2020,CAN,0.04253775825131589
2021,CAN,0.03673172391896673
2022,CAN,0.03254268598016604
2023,CAN,0.02878270761485341
2020,CHN,0.02596756594743673
2021,CHN,0.024442876713272898
2022,CHN,0.02462055999482515
2023,CHN,0.022661032812306168
2020,DEU,0.036055133431574016
2021,DEU,0.0331760623141992
2022,DEU,0.03200401319587261
2023,DEU,0.025857729479386346
2020,EU27,0.14689048935575744
2021,EU27,0.14159557317392563
2022,EU27,0.13889850036357795
2023,EU27,0.12258717709754788
2020,FRA,0.022646456967878002
2021,FRA,0.022461002145755127
2022,FRA,0.02208890201239288
2023,FRA,0.01858013406628624
2020,GBR,0.04002521187089913
2021,GBR,0.039044929479551
2022,GBR,0.04031824102765423
2023,GBR,0.036521994495099866
2020,IND,0.25823352066659455
2021,IND,0.25837221440091157
2022,IND,0.23348507367472487
2023,IND,0.27317477877021046
2020,PAK,0.016999353049066263
2021,PAK,0.020664836541244905
2022,PAK,0.026970256190862817
2023,PAK,0.03337077077389075
2020,USA,0.19731752821039727
2021,USA,0.16075710745776262
2022,USA,0.14496136299356266
2023,USA,0.13217323036844064
